HEX
125 15 15
MilkWeed 77 9 7
MilkWeed 77 9 9
MilkWeed 76 8 3
MilkWeed 76 8 11
MilkWeed 76 9 10
MilkWeed 75 9 12
MilkWeed 74 10 6
MilkWeed 74 8 13
MilkWeed 74 10 7
MilkWeed 74 10 9
MilkWeed 73 3 2
MilkWeed 73 9 4
MilkWeed 73 10 8
MilkWeed 73 9 11
Grass 72 13 12
MilkWeed 72 8 14
MilkWeed 71 9 2
MilkWeed 70 10 12
MilkWeed 69 9 13
MilkWeed 68 9 14
MilkWeed 68 2 2
MilkWeed 68 10 11
MilkWeed 67 6 0
MilkWeed 67 7 0
MilkWeed 67 11 8
MilkWeed 67 10 14
MilkWeed 66 10 10
MilkWeed 65 11 10
MilkWeed 64 10 5
MilkWeed 64 11 6
Grass 63 12 10
MilkWeed 63 11 9
MilkWeed 63 11 5
Grass 62 13 11
Grass 61 12 11
MilkWeed 61 12 8
MilkWeed 60 11 7
MilkWeed 59 11 2
MilkWeed 59 12 7
MilkWeed 58 12 9
Grass 57 14 11
MilkWeed 57 11 0
MilkWeed 56 11 1
MilkWeed 56 12 6
MilkWeed 54 12 0
MilkWeed 53 13 6
MilkWeed 51 14 0
MilkWeed 50 12 2
MilkWeed 48 13 10
MilkWeed 48 12 5
MilkWeed 47 13 8
MilkWeed 47 13 9
MilkWeed 46 14 6
MilkWeed 44 12 1
MilkWeed 44 0 1
MilkWeed 44 13 0
MilkWeed 44 14 9
MilkWeed 43 0 0
MilkWeed 43 13 1
MilkWeed 42 0 3
MilkWeed 42 13 7
MilkWeed 41 2 3
MilkWeed 41 0 2
MilkWeed 40 13 5
MilkWeed 40 14 10
MilkWeed 40 14 5
MilkWeed 40 14 8
MilkWeed 40 1 3
MilkWeed 38 14 7
MilkWeed 38 12 3
MilkWeed 38 13 2
MilkWeed 37 14 2
MilkWeed 36 13 3
MilkWeed 35 13 4
MilkWeed 34 14 4
MilkWeed 33 12 4
MilkWeed 33 14 1
MilkWeed 32 14 3
MilkWeed 31 11 3
MilkWeed 29 11 4
MilkWeed 28 10 4
MilkWeed 24 9 3
MilkWeed 23 10 3
MilkWeed 22 10 2
MilkWeed 18 3 0
MilkWeed 17 2 0
MilkWeed 12 1 2
MilkWeed 7 1 1
MilkWeed 6 1 0
MilkWeed 5 2 1
MilkWeed 4 8 1
MilkWeed 2 4 1
MilkWeed 2 9 1
MilkWeed 1 4 3
MilkWeed 1 4 2
MilkWeed 1 3 1
MilkWeed 1 9 0
Logs
Round: 125-> organism MilkWeed age 92 strength 0 was killed by Sheep age 124 strength 4
Round: 125-> organism MilkWeed age 5 strength 0 was killed by CyberSheep age 124 strength 10
Round: 125-> new MilkWeed was born at 4, 3
Round: 125-> new MilkWeed was born at 4, 2
Round: 125-> new MilkWeed was born at 3, 1
Round: 125-> new MilkWeed was born at 9, 0
